City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rikitea,PF,-23.1203,-134.9692,76.48,68,99,10.13,light rain
1,Chuy,UY,-33.6971,-53.4616,60.96,70,0,3.15,clear sky
2,Punta Arenas,CL,-53.15,-70.9167,41.0,87,90,8.05,light rain
3,Kahului,US,20.8947,-156.47,75.2,94,40,13.8,light rain
4,Santa Rosa,PH,14.3122,121.1114,82.4,78,20,3.44,few clouds
5,Hobart,AU,-42.8794,147.3294,53.6,94,75,8.05,mist
6,Port Alfred,ZA,-33.5906,26.891,64.45,75,100,12.41,light rain
7,Hermanus,ZA,-34.4187,19.2345,55.99,74,80,4.0,broken clouds
8,Ribeira Grande,PT,38.5167,-28.7,59.0,72,20,9.22,few clouds
9,Ushuaia,AR,-54.8,-68.3,42.8,56,20,5.75,few clouds
10,Cape Town,ZA,-33.9258,18.4232,57.0,82,0,5.75,clear sky
11,Mar Del Plata,AR,-38.0023,-57.5575,71.6,60,0,17.27,clear sky
12,Kaputa,ZM,-8.4689,29.6619,68.76,85,100,3.53,overcast clouds
13,Thunder Bay,CA,48.4001,-89.3168,57.99,41,75,14.97,broken clouds
14,Esperance,AU,-33.8667,121.9,59.0,88,90,17.27,light rain
15,Albany,US,42.6001,-73.9662,57.0,90,100,2.42,light rain
16,Grand Gaube,MU,-20.0064,57.6608,73.99,90,17,5.01,moderate rain
17,Bluff,NZ,-46.6,168.3333,53.01,84,77,11.99,broken clouds
18,Qaanaaq,GL,77.484,-69.3632,26.8,74,90,7.29,overcast clouds
19,Raduzhnyy,RU,62.0961,77.475,34.02,96,100,8.75,overcast clouds
20,Sumbe,AO,-11.2061,13.8437,78.94,82,99,3.09,overcast clouds
21,Zhangye,CN,38.9342,100.4517,58.32,23,2,1.45,clear sky
22,New Norfolk,AU,-42.7826,147.0587,53.01,92,51,2.24,broken clouds
23,Puerto Ayora,EC,-0.7393,-90.3518,82.4,74,40,17.27,scattered clouds
24,Saint George,US,37.1041,-113.5841,82.99,12,1,8.05,clear sky
25,Kumluca,TR,36.3703,30.2869,70.95,46,65,2.46,broken clouds
26,Roald,NO,62.5833,6.1333,39.2,75,20,14.97,few clouds
27,Barrow,US,71.2906,-156.7887,19.4,86,90,9.22,mist
28,Nikolskoye,RU,59.7035,30.7861,35.6,55,0,2.24,clear sky
29,Pisco,PE,-13.7,-76.2167,69.01,83,0,6.91,clear sky
30,Thompson,CA,55.7435,-97.8558,33.8,40,75,14.97,broken clouds
31,Stadtlohn,DE,51.9833,6.9333,44.01,94,100,8.99,light rain
32,Tilichiki,RU,60.4667,166.1,31.62,99,100,0.54,overcast clouds
33,Vaini,TO,-21.2,-175.2,77.0,94,90,11.5,light rain
34,Leningradskiy,RU,69.3833,178.4167,25.16,92,100,5.1,light snow
35,Dikson,RU,73.5069,80.5464,-2.13,99,96,7.23,overcast clouds
36,Djambala,CG,-2.5447,14.7533,69.66,89,100,2.71,light rain
37,Port Elizabeth,ZA,-33.918,25.5701,57.2,94,90,12.66,light rain
38,San Antonio,US,29.4241,-98.4936,73.99,73,90,14.97,overcast clouds
39,Souillac,MU,-20.5167,57.5167,77.0,83,75,14.97,light rain
40,Hilo,US,19.7297,-155.09,84.2,51,40,9.22,scattered clouds
41,Kapaa,US,22.0752,-159.319,77.0,65,20,13.8,few clouds
42,Longyearbyen,SJ,78.2186,15.6401,21.2,53,40,10.36,scattered clouds
43,Jamestown,US,42.097,-79.2353,54.0,93,90,9.22,mist
44,Arraial Do Cabo,BR,-22.9661,-42.0278,71.6,83,75,6.91,broken clouds
45,Kovur,IN,14.4833,79.9833,79.93,84,0,9.51,clear sky
46,Buchanan,LR,5.8808,-10.0467,80.6,89,20,7.34,few clouds
47,Talnakh,RU,69.4865,88.3972,27.14,95,98,4.56,overcast clouds
48,Vila Velha,BR,-20.3297,-40.2925,73.4,83,90,16.11,overcast clouds
49,Muli,MV,2.9167,73.5667,83.05,73,5,5.82,clear sky
50,Lieksa,FI,63.3167,30.0167,30.07,91,100,4.83,overcast clouds
51,Bethel,US,41.3712,-73.414,66.2,82,90,6.91,light rain
52,Chapais,CA,49.7834,-74.8492,60.8,29,1,6.91,clear sky
53,Korla,CN,41.7597,86.1469,68.7,16,0,5.03,clear sky
54,Hithadhoo,MV,-0.6,73.0833,83.52,72,96,8.37,overcast clouds
55,Kodiak,US,57.79,-152.4072,42.8,81,90,5.75,overcast clouds
56,Yellowknife,CA,62.456,-114.3525,27.0,59,20,11.5,few clouds
57,Wanaka,NZ,-44.7,169.15,51.48,88,100,3.83,light rain
58,Tuktoyaktuk,CA,69.4541,-133.0374,23.0,74,20,17.27,few clouds
59,Furukawa,JP,38.5717,140.9556,57.2,62,20,11.5,few clouds
60,Lima,PE,-12.0432,-77.0282,72.0,73,0,11.5,clear sky
61,Kemijarvi,FI,66.7131,27.4306,30.18,90,100,10.33,overcast clouds
62,Cidreira,BR,-30.1811,-50.2056,65.61,71,0,5.84,clear sky
63,Kodinsk,RU,58.6881,99.1844,25.03,95,18,3.4,few clouds
64,Carnarvon,AU,-24.8667,113.6333,69.8,88,40,8.05,scattered clouds
65,Thayetmyo,MM,19.3167,95.1833,83.62,64,7,4.92,clear sky
66,Lebu,CL,-37.6167,-73.65,59.83,84,97,7.11,overcast clouds
67,Airai,TL,-8.9266,125.4092,59.11,90,91,2.04,overcast clouds
68,Nanortalik,GL,60.1432,-45.2371,39.38,80,13,8.37,few clouds
69,Bredasdorp,ZA,-34.5322,20.0403,55.4,82,96,4.61,overcast clouds
70,Barra Do Bugres,BR,-15.0725,-57.1811,77.29,60,100,2.08,overcast clouds
71,Santa Maria,BR,-29.6842,-53.8069,73.4,49,0,9.22,clear sky
72,Los Llanos De Aridane,ES,28.6585,-17.9182,68.0,73,0,5.75,clear sky
73,Georgetown,MY,5.4112,100.3354,79.0,94,20,5.75,few clouds
74,Rosetta,EG,31.4044,30.4164,69.8,68,0,4.61,clear sky
75,Kalmunai,LK,7.4167,81.8167,80.19,79,71,0.67,broken clouds
76,Coahuayana,MX,18.7333,-103.6833,84.2,51,90,9.22,overcast clouds
77,San Quintin,MX,30.4833,-115.95,71.04,51,0,11.86,clear sky
78,Victoria,HK,22.2855,114.1577,73.99,85,100,1.01,overcast clouds
79,Castro,BR,-24.7911,-50.0119,58.23,70,7,6.13,clear sky
80,Lagoa,PT,39.05,-27.9833,57.11,62,100,8.59,overcast clouds
81,Kudal,IN,16.0333,73.6833,79.61,76,6,1.05,clear sky
82,Bambous Virieux,MU,-20.3428,57.7575,77.0,83,75,14.97,light rain
83,Upernavik,GL,72.7868,-56.1549,33.51,65,89,2.75,overcast clouds
84,Dubbo,AU,-32.25,148.6167,46.4,93,0,12.66,clear sky
85,Kalga,RU,50.9251,118.898,27.9,92,78,5.14,broken clouds
86,Walvis Bay,NA,-22.9575,14.5053,57.99,72,0,3.44,clear sky
87,Saint Anthony,US,45.0205,-93.218,66.99,26,1,16.11,clear sky
88,Mataura,NZ,-46.1927,168.8643,53.01,84,100,11.99,overcast clouds
89,Coihaique,CL,-45.5752,-72.0662,62.6,55,40,5.75,scattered clouds
90,Panama City,PA,8.9936,-79.5197,87.8,58,40,6.91,scattered clouds
91,Torbay,CA,47.6666,-52.7314,46.99,66,75,9.22,broken clouds
92,Iqaluit,CA,63.7506,-68.5145,33.8,93,90,10.36,light rain
93,Kasempa,ZM,-13.4584,25.8338,68.52,72,94,3.94,overcast clouds
94,Barcelos,PT,41.5388,-8.6151,55.0,82,0,6.91,clear sky
95,Bardiyah,LY,31.7561,25.0865,74.1,45,59,4.81,broken clouds
96,Namibe,AO,-15.1961,12.1522,75.74,68,84,5.35,broken clouds
97,Saldanha,ZA,-33.0117,17.9442,59.0,67,0,13.8,clear sky
98,Butaritari,KI,3.0707,172.7902,83.21,76,100,15.82,light rain
99,Shingu,JP,33.7333,135.9833,53.26,87,5,5.88,clear sky
100,Thetford Mines,CA,46.0913,-71.3013,66.2,32,100,4.61,overcast clouds
101,Inhambane,MZ,-23.865,35.3833,73.99,76,0,8.86,clear sky
102,Rocha,UY,-34.4833,-54.3333,60.44,78,0,1.88,clear sky
103,Avarua,CK,-21.2078,-159.775,82.4,83,40,8.05,scattered clouds
104,Natchez,US,31.5604,-91.4032,84.2,58,1,6.91,clear sky
105,Vilaka,LV,57.1846,27.6722,41.25,94,100,7.14,overcast clouds
106,Ancud,CL,-41.8697,-73.8203,63.0,82,75,12.66,broken clouds
107,Kodinar,IN,20.7903,70.7031,81.66,74,92,11.79,overcast clouds
108,Palana,RU,59.1167,159.9667,30.13,93,18,5.1,few clouds
109,Mae Hong Son,TH,19.3003,97.9685,72.59,94,22,1.57,few clouds
110,Maarianhamina,AX,60.0973,19.9348,28.4,93,0,2.3,clear sky
111,Kabare,CD,-2.4683,28.8242,61.02,97,100,1.66,overcast clouds
112,Trairi,BR,-3.2778,-39.2689,76.73,86,100,6.55,overcast clouds
113,Port Hardy,CA,50.6996,-127.4199,51.8,87,90,16.11,overcast clouds
114,Labuhan,ID,-6.8844,112.2051,76.44,90,62,7.27,broken clouds
115,Chalinze,TZ,-6.6378,38.354,71.08,98,100,3.27,light rain
116,Sigli,ID,5.3848,95.9609,79.3,82,93,2.13,overcast clouds
117,Sorong,ID,-0.8833,131.25,76.64,88,86,6.29,overcast clouds
118,Verkhnevilyuysk,RU,63.4453,120.3167,25.48,92,100,2.48,overcast clouds
119,Petersburg,US,37.2279,-77.4019,84.0,44,40,9.22,scattered clouds
120,Brisbane,AU,-27.4679,153.0281,64.4,88,75,5.75,broken clouds
121,Khatanga,RU,71.9667,102.5,30.13,94,100,8.3,overcast clouds
122,Salalah,OM,17.0151,54.0924,84.2,79,75,5.75,broken clouds
123,Atuona,PF,-9.8,-139.0333,79.07,72,4,5.75,clear sky
124,Kologriv,RU,58.8275,44.3178,33.33,89,100,4.85,light snow
125,Totma,RU,59.9747,42.7642,30.72,88,67,4.9,broken clouds
126,Payson,US,40.0444,-111.7321,69.01,30,1,5.75,clear sky
127,East London,ZA,-33.0153,27.9116,64.78,82,100,10.02,moderate rain
128,Kaitangata,NZ,-46.2817,169.8464,55.0,71,100,4.0,overcast clouds
129,Kirakira,SB,-10.4544,161.9205,81.01,77,98,7.65,overcast clouds
130,Khani,GE,41.9563,42.9566,55.4,82,0,4.61,clear sky
131,Shahreza,IR,32.0339,51.8794,64.22,39,63,3.22,broken clouds
132,Ostersund,SE,63.1792,14.6357,33.01,69,40,9.22,scattered clouds
133,Ca Mau,VN,9.1769,105.15,78.69,86,46,4.25,scattered clouds
134,Kharp,RU,66.8014,65.8081,24.21,96,100,2.71,light snow
135,Luebo,CD,-5.35,21.4167,71.58,97,59,1.03,broken clouds
136,Fairbanks,US,64.8378,-147.7164,46.99,49,90,2.53,overcast clouds
137,Fukiage,JP,36.1,139.45,55.4,100,1,6.91,clear sky
138,Mehamn,NO,71.0357,27.8492,30.2,69,75,27.63,broken clouds
139,Sao Filipe,CV,14.8961,-24.4956,72.95,76,23,15.37,few clouds
140,Rovaniemi,FI,66.5,25.7167,32.0,80,90,9.22,light rain
141,Minden,DE,52.2833,8.9167,44.6,81,75,16.11,broken clouds
142,Amapa,BR,1.0,-52.0,74.64,89,99,6.38,overcast clouds
143,Flinders,AU,-34.5833,150.8552,53.01,89,0,1.01,clear sky
144,Kruisfontein,ZA,-34.0033,24.7314,55.99,94,100,4.83,moderate rain
145,Warrington,GB,53.3925,-2.5802,46.4,76,99,1.14,overcast clouds
146,Marawi,PH,7.9986,124.2928,75.99,87,56,7.0,broken clouds
147,Luhyny,UA,51.082,28.4006,51.31,77,100,12.33,overcast clouds
148,Kavieng,PG,-2.5744,150.7967,82.58,74,47,6.98,scattered clouds
149,Hami,CN,42.8,93.45,68.29,18,18,9.62,few clouds
150,Gurupi,BR,-11.7292,-49.0686,79.25,72,15,3.27,few clouds
151,Severo-Kurilsk,RU,50.6789,156.125,36.41,86,43,4.36,scattered clouds
152,Bengkulu,ID,-3.8004,102.2655,75.45,91,91,5.01,overcast clouds
153,Asosa,ET,10.0667,34.5333,64.13,86,100,5.84,light rain
154,Ambulu,ID,-8.345,113.6058,74.75,90,69,2.64,broken clouds
155,Miramar,US,25.9873,-80.2323,88.0,54,20,14.97,few clouds
156,Panzhihua,CN,26.5851,101.7128,61.09,61,17,2.08,few clouds
157,Ushtobe,KZ,45.2514,77.9838,69.21,26,3,8.72,clear sky
158,Port Lincoln,AU,-34.7333,135.8667,63.01,67,15,10.4,moderate rain
159,Busselton,AU,-33.65,115.3333,48.99,98,69,1.99,light rain
160,Saint-Joseph,RE,-21.3667,55.6167,73.4,83,22,5.75,light rain
161,Urumqi,CN,43.801,87.6005,69.8,19,0,13.42,clear sky
162,Alofi,NU,-19.0595,-169.9187,82.4,83,75,1.14,broken clouds
163,San Jeronimo,PE,-11.9472,-75.2829,59.43,54,61,6.35,broken clouds
164,Mabaruma,GY,8.2,-59.7833,74.19,96,93,5.08,overcast clouds
165,Mikuni,JP,36.2171,136.1519,48.2,100,40,4.61,scattered clouds
166,Rabak,SD,13.1809,32.74,88.7,41,99,9.95,overcast clouds
167,Lodja,CD,-3.4833,23.4333,73.35,90,90,0.85,overcast clouds
168,Emerald,AU,-23.5333,148.1667,64.4,77,40,8.05,scattered clouds
169,Matara,LK,5.9485,80.5353,77.49,90,99,6.98,light rain
170,Praxedis Guerrero,MX,31.3667,-106.0167,51.8,71,90,19.57,overcast clouds
171,Katangli,RU,51.7102,143.2326,30.72,86,94,8.39,overcast clouds
172,Raymond Terrace,AU,-32.75,151.75,57.99,100,0,4.61,clear sky
173,Nioro,GM,13.35,-15.75,84.15,36,30,11.48,scattered clouds
174,Tuatapere,NZ,-46.1333,167.6833,53.01,84,97,11.99,overcast clouds
175,Kaeo,NZ,-35.1,173.7833,55.99,92,0,1.99,clear sky
176,Khawhai,IN,23.3667,93.1167,57.7,84,5,1.99,clear sky
177,Rockport,US,28.0206,-97.0544,78.8,94,90,5.75,mist
178,Nushki,PK,29.5542,66.0215,80.69,20,47,9.08,scattered clouds
179,Ninghai,CN,29.2892,121.4247,63.0,97,0,4.5,clear sky
180,Faanui,PF,-16.4833,-151.75,81.5,73,68,7.31,broken clouds
181,Bayan,CN,46.0833,127.4,41.5,72,99,3.6,overcast clouds
182,Paraiso,CR,9.8383,-83.8656,73.4,88,75,5.75,broken clouds
183,Kazachinskoye,RU,57.6953,93.2761,35.82,95,100,8.66,overcast clouds
184,Chokurdakh,RU,70.6333,147.9167,3.72,98,95,3.29,overcast clouds
185,Bolobo,CD,-2.1667,16.2333,74.53,90,98,2.75,overcast clouds
186,Karla,EE,59.3723,24.9275,35.6,64,0,2.3,clear sky
187,Kungurtug,RU,50.5994,97.5228,33.3,82,80,2.8,broken clouds
188,Jatiroto,ID,-7.8833,111.1167,73.36,91,64,2.57,broken clouds
189,Biak,ID,-0.9131,122.8766,75.94,82,87,2.73,overcast clouds
190,Senno,RU,59.5336,33.9167,32.5,89,90,3.42,overcast clouds
191,Zvecka,RS,44.6389,20.1647,63.0,63,0,5.75,light rain
192,Hambantota,LK,6.1241,81.1185,79.09,85,100,9.19,overcast clouds
193,Caravelas,BR,-17.7125,-39.2481,74.66,78,60,11.25,broken clouds
194,Ahipara,NZ,-35.1667,173.1667,59.54,71,0,2.91,clear sky
195,Lompoc,US,34.6391,-120.4579,75.99,63,8,19.57,clear sky
196,Touros,BR,-5.1989,-35.4608,78.8,83,20,4.61,few clouds
197,Cabo San Lucas,MX,22.8909,-109.9124,84.99,31,1,11.5,clear sky
198,Dingle,PH,10.9995,122.6711,73.51,76,35,3.67,light rain
199,Aklavik,CA,68.2191,-135.0107,33.8,44,84,8.05,broken clouds
200,Prabumulih,ID,-3.45,104.25,73.24,99,95,2.95,overcast clouds
201,Saint-Augustin,CA,51.226,-58.6502,44.08,71,100,1.97,overcast clouds
202,Katsuura,JP,35.1333,140.3,60.8,88,20,1.14,few clouds
203,Neiafu,TO,-18.65,-173.9833,80.6,89,75,2.3,moderate rain
204,Daultala,PK,33.1925,73.1413,80.01,44,72,6.4,broken clouds
205,Abu Samrah,SY,35.3029,37.1841,73.35,38,0,5.37,clear sky
206,Ambon,ID,-3.6954,128.1814,80.64,71,93,3.58,overcast clouds
207,Naze,JP,28.3667,129.4833,63.19,73,0,10.65,clear sky
208,Faya,SA,18.3851,42.4509,62.6,72,40,5.1,scattered clouds
209,Cap Estate,LC,14.0833,-60.95,78.8,83,90,12.66,overcast clouds
210,Peredovaya,RU,44.1172,41.4756,48.06,92,18,3.6,few clouds
211,Christchurch,NZ,-43.5333,172.6333,59.0,93,90,2.3,overcast clouds
212,Tasiilaq,GL,65.6145,-37.6368,32.0,93,75,4.61,broken clouds
213,Banos,EC,-1.4,-78.4167,71.6,68,40,5.75,light rain
214,Aitape,PG,-3.1374,142.3475,78.57,84,95,3.83,overcast clouds
215,Datong,CN,40.0936,113.2914,44.44,32,99,1.97,light rain
216,Prince George,CA,53.9166,-122.753,55.0,82,90,16.11,light rain
217,Broome,US,42.2506,-75.833,64.99,100,90,11.5,moderate rain
218,Saint-Philippe,RE,-21.3585,55.7679,73.4,83,38,5.75,light rain
219,Tumalaytay,PH,12.2758,123.232,77.11,81,85,2.95,overcast clouds
220,Boa Vista,BR,2.8197,-60.6733,84.2,65,75,3.44,light rain
221,Lasa,IT,46.6166,10.7002,55.4,100,75,8.05,mist
222,Minuri,PH,16.535,121.8574,73.06,87,75,2.77,broken clouds
223,Chifeng,CN,42.2683,118.9636,35.74,26,40,4.99,scattered clouds
224,Santiago Do Cacem,PT,38.0169,-8.6948,57.0,68,56,5.01,broken clouds
225,Aleksandrov Gay,RU,50.147,48.5704,46.92,52,4,4.52,clear sky
226,Agua Dulce,MX,18.1333,-94.1333,98.6,34,1,19.57,clear sky
